08-13 15:28 drqa.retriever.tfidf_doc_ranker INFO     Loading /work/mithunpaul/fever/my_fork/fever-baselines/data/index/fever-tfidf-ngram=2-hash=16777216-tokenizer=simple.npz
08-13 15:28 root         DEBUG    wrong predictions
08-13 15:28 root         DEBUG    Rupert Murdoch has control of 21st Century Fox .
08-13 15:28 root         DEBUG    Murdoch thus had full control as Chairman and CEO of global media holding company News Corporation , now the world 's second-largest media conglomerate , and its successors , News Corp and 21st Century Fox , after the conglomerate split on 28 June 2013 .
08-13 15:28 root         DEBUG    gold:SUPPORTS
08-13 15:28 root         DEBUG    predicted:REFUTES
08-13 15:28 root         DEBUG    wrong predictions
08-13 15:28 root         DEBUG    wrong predictions
08-13 15:28 root         DEBUG    Randy Savage is a professional at a fighting sport .
08-13 15:28 root         DEBUG    Randy Mario Poffo -LRB- November 15 , 1952 -- May 20 , 2011 -RRB- , better known by the ring name `` Macho Man '' Randy Savage , was an American professional wrestler and color commentator best known for his time in the World Wrestling Federation -LRB- WWF , now WWE -RRB- and later World Championship Wrestling -LRB- WCW -RRB- .
08-13 15:28 root         DEBUG    gold:SUPPORTS
08-13 15:28 root         DEBUG    predicted:REFUTES
08-13 15:28 root         DEBUG    wrong predictions
08-13 15:28 root         DEBUG    wrong predictions
08-13 15:28 root         DEBUG    Southpaw was written by a person .
08-13 15:28 root         DEBUG    Southpaw is a 2015 American sports drama film directed by Antoine Fuqua , written by Kurt Sutter and starring Jake Gyllenhaal , Forest Whitaker and Rachel McAdams . Kurt Leon Sutter -LRB- born May 5 , 1960 -RRB- is an American screenwriter , director , producer , and actor .
08-13 15:28 root         DEBUG    gold:SUPPORTS
08-13 15:28 root         DEBUG    predicted:REFUTES
08-13 15:28 root         DEBUG    wrong predictions
08-13 15:28 root         DEBUG    wrong predictions
08-13 15:28 root         DEBUG    Marco Polo was a person .
08-13 15:28 root         DEBUG    Marco Polo -LRB- -LSB- ˈmɑrkoʊ_ˈpoʊloʊ -RSB- -LSB- ˈmarko ˈpɔːlo -RSB- ; 1254January 8 -- 9 , 1324 -RRB- was a Venetian merchant traveller .
08-13 15:28 root         DEBUG    gold:SUPPORTS
08-13 15:28 root         DEBUG    predicted:REFUTES
08-13 15:28 root         DEBUG    wrong predictions
08-13 15:28 root         DEBUG    Marco Polo was a Venetian .
08-13 15:28 root         DEBUG    Marco Polo -LRB- -LSB- ˈmɑrkoʊ_ˈpoʊloʊ -RSB- -LSB- ˈmarko ˈpɔːlo -RSB- ; 1254January 8 -- 9 , 1324 -RRB- was a Venetian merchant traveller .
08-13 15:28 root         DEBUG    gold:SUPPORTS
08-13 15:28 root         DEBUG    predicted:REFUTES
08-13 15:28 root         DEBUG    wrong predictions
08-13 15:28 root         DEBUG    Anushka Sharma won an award .
08-13 15:28 root         DEBUG    She is the recipient of numerous accolades , including one Filmfare Award from seven nominations .
08-13 15:28 root         DEBUG    gold:SUPPORTS
08-13 15:28 root         DEBUG    predicted:REFUTES
08-13 15:28 root         DEBUG    wrong predictions
08-13 15:28 root         DEBUG    wrong predictions
08-13 15:28 root         DEBUG    wrong predictions
08-13 15:28 root         DEBUG    Aarhus is the seat of Aarhus municipality .
08-13 15:28 root         DEBUG    Aarhus -LRB- -LSB- ˈɒːhuːˀs -RSB- ; officially spelled Århus from 1948 until 31 December 2010 -RRB- is the second-largest city in Denmark and the seat of Aarhus municipality .
08-13 15:28 root         DEBUG    gold:SUPPORTS
08-13 15:28 root         DEBUG    predicted:REFUTES
08-13 15:28 root         DEBUG    wrong predictions
08-13 15:28 root         DEBUG    wrong predictions
08-13 15:28 root         DEBUG    Sayyeshaa starred in Akhil .
08-13 15:28 root         DEBUG    After starring a Telugu film Akhil -LRB- 2015 -RRB- , she made her Bollywood debut in Ajay Devgn 's Shivaay -LRB- 2016 -RRB- .
08-13 15:28 root         DEBUG    gold:SUPPORTS
08-13 15:28 root         DEBUG    predicted:REFUTES
08-13 15:28 root         DEBUG    wrong predictions
08-13 15:28 root         DEBUG    wrong predictions
08-13 15:28 root         DEBUG    wrong predictions
08-13 15:28 root         DEBUG    Smriti Mandhana was born in August .
08-13 15:28 root         DEBUG    Smriti Mandhana -LRB- born 18 July 1996 -RRB- is an Indian cricketer who plays for the Indian women 's cricket team .
08-13 15:28 root         DEBUG    gold:REFUTES
08-13 15:28 root         DEBUG    predicted:SUPPORTS
08-13 15:28 root         DEBUG    wrong predictions
08-13 15:28 root         DEBUG    wrong predictions
08-13 15:28 root         DEBUG    The Beach was released in 2000 .
08-13 15:28 root         DEBUG    The Beach is a 2000 adventure drama film directed by Danny Boyle and based on the 1996 novel of the same name by Alex Garland , which was adapted for the film by John Hodge .
08-13 15:28 root         DEBUG    gold:SUPPORTS
08-13 15:28 root         DEBUG    predicted:REFUTES
08-13 15:28 root         DEBUG    wrong predictions
08-13 15:28 root         DEBUG    Sleipnir appears nowhere .
08-13 15:28 root         DEBUG    Additionally , Sleipnir is mentioned in a riddle found in the 13th century legendary saga Hervarar saga ok Heiðreks , in the 13th century legendary saga Völsunga saga as the ancestor of the horse Grani , and book I of Gesta Danorum , written in the 12th century by Saxo Grammaticus , contains an episode considered by many scholars to involve Sleipnir .
08-13 15:28 root         DEBUG    gold:REFUTES
08-13 15:28 root         DEBUG    predicted:SUPPORTS
08-13 15:28 root         DEBUG    wrong predictions
08-13 15:28 root         DEBUG    There is a film that is about a person name Stanley Jobson titled Swordfish -LRB- film -RRB- .
08-13 15:28 root         DEBUG    The film centers on Stanley Jobson , an ex-con and computer hacker who is targeted for recruitment into a bank robbery conspiracy because of his formidable hacking skills .
08-13 15:28 root         DEBUG    gold:SUPPORTS
08-13 15:28 root         DEBUG    predicted:REFUTES
08-13 15:28 root         DEBUG    wrong predictions
08-13 15:28 root         DEBUG    wrong predictions
08-13 15:28 root         DEBUG    wrong predictions
08-13 15:28 root         DEBUG    wrong predictions
08-13 15:28 root         DEBUG    Miracle at St. Anna is set primarily in Tuscany .
08-13 15:28 root         DEBUG    Set primarily in Italy during German-occupied Europe in World War II , the film tells the story of four Buffalo Soldiers of the 92nd Infantry Division who seek refuge in a small Tuscan village , where they form a bond with the residents .
08-13 15:28 root         DEBUG    gold:SUPPORTS
08-13 15:28 root         DEBUG    predicted:REFUTES
08-13 15:28 root         DEBUG    wrong predictions
08-13 15:28 root         DEBUG    Tool is a rock band that formed in 1990 .
08-13 15:28 root         DEBUG    Formed in 1990 , the group 's line-up includes drummer Danny Carey , guitarist Adam Jones , and vocalist Maynard James Keenan . Daniel Edwin `` Danny '' Carey -LRB- born May 10 , 1961 -RRB- is an American drummer and instrumentalist best known for his work in American Grammy Award-winning progressive rock band Tool .
08-13 15:28 root         DEBUG    gold:SUPPORTS
08-13 15:28 root         DEBUG    predicted:REFUTES
08-13 15:28 root         DEBUG    wrong predictions
08-13 15:28 root         DEBUG    The Mighty Ducks was produced by Lucasfilm .
08-13 15:28 root         DEBUG    It was produced by The Kerner Entertainment Company and Avnet -- Kerner Productions and distributed by Walt Disney Pictures .
08-13 15:28 root         DEBUG    gold:REFUTES
08-13 15:28 root         DEBUG    predicted:SUPPORTS
08-13 15:28 root         DEBUG    wrong predictions
08-13 15:28 root         DEBUG    wrong predictions
08-13 15:28 root         DEBUG    wrong predictions
08-13 15:28 root         DEBUG    wrong predictions
08-13 15:28 root         DEBUG    I Kissed a Girl is part of Katy Perry 's second studio sandwich .
08-13 15:28 root         DEBUG    `` I Kissed a Girl '' is a song recorded by American singer Katy Perry for her second studio album , One of the Boys -LRB- 2008 -RRB- .
08-13 15:28 root         DEBUG    gold:REFUTES
08-13 15:28 root         DEBUG    predicted:SUPPORTS
08-13 15:28 root         DEBUG    wrong predictions
08-13 15:28 root         DEBUG    Henry VIII -LRB- TV serial -RRB- has an all-female cast .
08-13 15:28 root         DEBUG    It stars Ray Winstone in his first role in a costume drama .
08-13 15:28 root         DEBUG    gold:REFUTES
08-13 15:28 root         DEBUG    predicted:SUPPORTS
08-13 15:28 root         DEBUG    wrong predictions
08-13 15:28 root         DEBUG    Juventus F.C. is the second oldest soccer team in Italy .
08-13 15:28 root         DEBUG    The club is the second oldest of its kind still active in the country after Genoa 's football section -LRB- 1893 -RRB- , has traditionally worn a black and white striped home kit since 1903 and has played its home matches in several grounds , being the latest the 41,507-capacity Juventus Stadium .
08-13 15:28 root         DEBUG    gold:SUPPORTS
08-13 15:28 root         DEBUG    predicted:REFUTES
08-13 15:28 root         DEBUG    wrong predictions
08-13 15:28 root         DEBUG    wrong predictions
08-13 15:28 root         DEBUG    wrong predictions
08-13 15:28 root         DEBUG    South African Communist Party is a trades partner .
08-13 15:28 root         DEBUG    It is a partner of the Tripartite Alliance with the African National Congress and the Congress of South African Trade Unions -LRB- COSATU -RRB- and through this it influences the South African government .
08-13 15:28 root         DEBUG    gold:SUPPORTS
08-13 15:28 root         DEBUG    predicted:REFUTES
08-13 15:28 root         DEBUG    wrong predictions
08-13 15:28 root         DEBUG    Saturn Corporation is popularly referred to as Saturn LLC .
08-13 15:28 root         DEBUG    The Saturn Corporation , also known as Saturn LLC , is a registered trademark established on January 7 , 1985 , as a subsidiary of General Motors .
08-13 15:28 root         DEBUG    gold:SUPPORTS
08-13 15:28 root         DEBUG    predicted:REFUTES
08-13 15:28 root         DEBUG    wrong predictions
08-13 15:28 root         DEBUG    wrong predictions
08-13 15:28 root         DEBUG    wrong predictions
08-13 15:28 root         DEBUG    wrong predictions
08-13 15:28 root         DEBUG    Ed Wood is a film .
08-13 15:28 root         DEBUG    Ed Wood is a 1994 American biographical period comedy-drama film directed and produced by Tim Burton , and starring Johnny Depp as cult filmmaker Ed Wood .
08-13 15:28 root         DEBUG    gold:SUPPORTS
08-13 15:28 root         DEBUG    predicted:REFUTES
08-13 15:28 root         DEBUG    wrong predictions
08-13 15:28 root         DEBUG    wrong predictions
08-13 15:28 root         DEBUG    wrong predictions
08-13 15:28 root         DEBUG    Finding Dory was written by Andrei Zvyagintsev .
08-13 15:28 root         DEBUG    Directed by Andrew Stanton with co-direction by Angus MacLane , the screenplay was written by Stanton and Victoria Strouse .
08-13 15:28 root         DEBUG    gold:REFUTES
08-13 15:28 root         DEBUG    predicted:SUPPORTS
08-13 15:28 root         DEBUG    wrong predictions
08-13 15:28 root         DEBUG    wrong predictions
08-13 15:28 root         DEBUG    wrong predictions
08-13 15:28 root         DEBUG    wrong predictions
08-13 15:28 root         DEBUG    wrong predictions
08-13 15:28 root         DEBUG    Meteora is not an album by Linkin Park .
08-13 15:28 root         DEBUG    Meteora is the second studio album by American rock band Linkin Park .
08-13 15:28 root         DEBUG    gold:REFUTES
08-13 15:28 root         DEBUG    predicted:SUPPORTS
08-13 15:28 root         DEBUG    wrong predictions
08-13 15:28 root         DEBUG    Awkward Black Girl is a Pakistani comedy web series .
08-13 15:28 root         DEBUG    The Mis-Adventures of Awkward Black Girl -LRB- often simply referred to as Awkward Black Girl -RRB- is an American comedy web series created by and starring Issa Rae .
08-13 15:28 root         DEBUG    gold:REFUTES
08-13 15:28 root         DEBUG    predicted:SUPPORTS
08-13 15:28 root         DEBUG    wrong predictions
08-13 15:28 root         DEBUG    wrong predictions
08-13 15:28 root         DEBUG    wrong predictions
08-13 15:28 root         DEBUG    wrong predictions
08-13 15:28 root         DEBUG    wrong predictions
08-13 15:28 root         DEBUG    Live Through This has sold less than 1.6 million copies .
08-13 15:28 root         DEBUG    As of 2010 , it has sold over 1.6 million copies in the United States .
08-13 15:28 root         DEBUG    gold:REFUTES
08-13 15:28 root         DEBUG    predicted:SUPPORTS
08-13 15:28 root         DEBUG    wrong predictions
08-13 15:28 root         DEBUG    wrong predictions
08-13 15:28 root         DEBUG    wrong predictions
08-13 15:28 root         DEBUG    wrong predictions
08-13 15:28 root         DEBUG    wrong predictions
08-13 15:28 root         DEBUG    Buffy Summers appears in a recorded work .
08-13 15:28 root         DEBUG    She first appeared in the 1992 film Buffy the Vampire Slayer before going on to appear in the television series and subsequent comic book of the same name .
08-13 15:28 root         DEBUG    gold:SUPPORTS
08-13 15:28 root         DEBUG    predicted:REFUTES
08-13 15:28 root         DEBUG    wrong predictions
08-13 15:28 root         DEBUG    wrong predictions
08-13 15:28 root         DEBUG    Billie Joe Armstrong finished college in 1972 .
08-13 15:28 root         DEBUG    Billie Joe Armstrong -LRB- born February 17 , 1972 -RRB- is an American musician , singer , songwriter and actor who is best known as the lead vocalist , primary songwriter , and guitarist of the punk rock band Green Day , which he co-founded with Mike Dirnt .
08-13 15:28 root         DEBUG    gold:REFUTES
08-13 15:28 root         DEBUG    predicted:SUPPORTS
08-13 15:28 root         DEBUG    wrong predictions
08-13 15:28 root         DEBUG    wrong predictions
08-13 15:28 root         DEBUG    wrong predictions
08-13 15:28 root         DEBUG    An example of a virus is rabies .
08-13 15:28 root         DEBUG    Rabies is a viral disease that causes inflammation of the brain in humans and other mammals .
08-13 15:28 root         DEBUG    gold:SUPPORTS
08-13 15:28 root         DEBUG    predicted:REFUTES
08-13 15:28 root         DEBUG    wrong predictions
08-13 15:28 root         DEBUG    Wales ' population rapidly declined .
08-13 15:28 root         DEBUG    At the dawn of the Industrial Revolution , development of the mining and metallurgical industries transformed the country from an agricultural society into an industrial nation ; the South Wales Coalfield 's exploitation caused a rapid expansion of Wales ' population .
08-13 15:28 root         DEBUG    gold:REFUTES
08-13 15:28 root         DEBUG    predicted:SUPPORTS
08-13 15:28 root         DEBUG    wrong predictions
08-13 15:28 root         DEBUG    Michael Vick graduated college on June 26th , 1980 .
08-13 15:28 root         DEBUG    Michael Dwayne Vick -LRB- born June 26 , 1980 -RRB- is a former American football quarterback who played 13 seasons in the National Football League , primarily with the Atlanta Falcons and the Philadelphia Eagles .
08-13 15:28 root         DEBUG    gold:REFUTES
08-13 15:28 root         DEBUG    predicted:SUPPORTS
08-13 15:28 root         DEBUG    wrong predictions
08-13 15:28 root         DEBUG    wrong predictions
08-13 15:28 root         DEBUG    wrong predictions
08-13 15:28 root         DEBUG    The Washington Wizards have won four division titles .
08-13 15:28 root         DEBUG    They have won four conference titles -LRB- 1971 , 1975 , 1978 , 1979 -RRB- , and seven division titles -LRB- 1971 , 1972 , 1973 , 1974 , 1975 , 1979 , 2017 -RRB- .
08-13 15:28 root         DEBUG    gold:REFUTES
08-13 15:28 root         DEBUG    predicted:SUPPORTS
08-13 15:28 root         DEBUG    wrong predictions
08-13 15:28 root         DEBUG    Goosebumps -LRB- film -RRB- is based on The Hobbit by Scott Alexander and Larry Karaszewski .
08-13 15:28 root         DEBUG    Goosebumps is a 2015 American horror comedy film based on the children 's book series of the same name by R.L. Stine .
08-13 15:28 root         DEBUG    gold:REFUTES
08-13 15:28 root         DEBUG    predicted:SUPPORTS
08-13 15:28 root         DEBUG    wrong predictions
08-13 15:28 root         DEBUG    Damon Albarn collaborated with Brian Eno on his album Everyday Robots .
08-13 15:28 root         DEBUG    His debut solo studio album Everyday Robots -- co-produced by XL Recordings CEO Richard Russell -- was released on 28 April 2014 and featured collaborations with Brian Eno , Natasha Khan and the Leytonstone City Pentecostal Mission Church Choir as well as sampling several rants by Lord Buckley .
08-13 15:28 root         DEBUG    gold:SUPPORTS
08-13 15:28 root         DEBUG    predicted:REFUTES
08-13 15:28 root         DEBUG    wrong predictions
08-13 15:28 root         DEBUG    Marvel vs. Capcom : Infinite is part of a series .
08-13 15:28 root         DEBUG    It is the sixth main entry in the Marvel vs. Capcom series of crossover games .
08-13 15:28 root         DEBUG    gold:SUPPORTS
08-13 15:28 root         DEBUG    predicted:REFUTES
08-13 15:28 root         DEBUG    wrong predictions
08-13 15:28 root         DEBUG    wrong predictions
08-13 15:28 root         DEBUG    wrong predictions
08-13 15:28 root         DEBUG    Anushka Sharma is a winner of a Filmfare Award .
08-13 15:28 root         DEBUG    Sharma rose to prominence with starring roles in Yash Raj Films 's romances Band Baaja Baaraat -LRB- 2010 -RRB- and Jab Tak Hai Jaan -LRB- 2012 -RRB- ; the latter won her a Best Supporting Actress award at Filmfare .
08-13 15:28 root         DEBUG    gold:SUPPORTS
08-13 15:28 root         DEBUG    predicted:REFUTES
08-13 15:28 root         DEBUG    wrong predictions
08-13 15:28 root         DEBUG    wrong predictions
08-13 15:28 root         DEBUG    Joe Rogan did not move to Los Angeles in 1994 .
08-13 15:28 root         DEBUG    After relocating to Los Angeles in 1994 , Rogan signed an exclusive developmental deal with Disney , appeared as an actor on the television sitcoms Hardball and NewsRadio , and worked in local comedy clubs .
08-13 15:28 root         DEBUG    gold:REFUTES
08-13 15:28 root         DEBUG    predicted:SUPPORTS
08-13 15:28 root         DEBUG    wrong predictions
08-13 15:28 root         DEBUG    Richard Dawkins makes regular radio appearances .
08-13 15:28 root         DEBUG    Dawkins has been awarded many prestigious academic and writing awards and he makes regular television , radio and Internet appearances , predominantly discussing his books , his atheism , and his ideas and opinions as a public intellectual .
08-13 15:28 root         DEBUG    gold:SUPPORTS
08-13 15:28 root         DEBUG    predicted:REFUTES
08-13 15:28 root         DEBUG    wrong predictions
08-13 15:28 root         DEBUG    wrong predictions
08-13 15:28 root         DEBUG    wrong predictions
08-13 15:28 root         DEBUG    wrong predictions
08-13 15:28 root         DEBUG    Daag is a movie .
08-13 15:28 root         DEBUG    Daag : A Poem of Love is a 1973 Bollywood drama film produced and directed by Yash Chopra in his debut as a producer , which laid the foundation of Yash Raj Films .
08-13 15:28 root         DEBUG    gold:SUPPORTS
08-13 15:28 root         DEBUG    predicted:REFUTES
08-13 15:28 root         DEBUG    wrong predictions
08-13 15:28 root         DEBUG    wrong predictions
08-13 15:28 root         DEBUG    wrong predictions
08-13 15:28 root         DEBUG    Jim Broadbent is involved with Game of Thrones -LRB- season 7 -RRB- .
08-13 15:28 root         DEBUG    The season will introduce several new cast members , including Jim Broadbent and Tom Hopper .
08-13 15:28 root         DEBUG    gold:SUPPORTS
08-13 15:28 root         DEBUG    predicted:REFUTES
08-13 15:28 root         DEBUG    wrong predictions
08-13 15:28 root         DEBUG    wrong predictions
08-13 15:28 root         DEBUG    wrong predictions
08-13 15:28 root         DEBUG    wrong predictions
08-13 15:28 root         DEBUG    wrong predictions
08-13 15:28 root         DEBUG    The Penibaetic System is also called a system of mountain ranges .
08-13 15:28 root         DEBUG    The Penibaetic System -LRB- Sistema Penibético or Cordillera Penibética -RRB- is the southernmost of the three systems of mountain ranges of the Baetic System in the southern Iberian Peninsula .
08-13 15:28 root         DEBUG    gold:SUPPORTS
08-13 15:28 root         DEBUG    predicted:REFUTES
08-13 15:28 root         DEBUG    wrong predictions
08-13 15:28 root         DEBUG    wrong predictions
08-13 15:28 root         DEBUG    Home for the Holidays stars an actor .
08-13 15:28 root         DEBUG    The film stars Holly Hunter , Robert Downey Jr. , Anne Bancroft , Charles Durning , Dylan McDermott , Geraldine Chaplin , Steve Guttenberg , Cynthia Stevenson , Claire Danes , Austin Pendleton and David Strathairn . Steven Robert `` Steve '' Guttenberg -LRB- born August 24 , 1958 -RRB- is an American actor , author , businessman , producer , and director . Home for the Holidays is a 1995 comedy-drama film directed by Jodie Foster and produced by Peggy Rajski and Foster .
08-13 15:28 root         DEBUG    gold:SUPPORTS
08-13 15:28 root         DEBUG    predicted:REFUTES
08-13 15:28 root         DEBUG    wrong predictions
08-13 15:28 root         DEBUG    Fidel Castro transferred his responsibilities .
08-13 15:28 root         DEBUG    In 2006 he transferred his responsibilities to Vice-President Raúl Castro , who was elected to the presidency by the National Assembly in 2008 .
08-13 15:28 root         DEBUG    gold:SUPPORTS
08-13 15:28 root         DEBUG    predicted:REFUTES
08-13 15:28 root         DEBUG    wrong predictions
08-13 15:28 root         DEBUG    wrong predictions
08-13 15:28 root         DEBUG    West Ham United F.C. is a club .
08-13 15:28 root         DEBUG    West Ham United Football Club is a professional football club based in Stratford , East London , England .
08-13 15:28 root         DEBUG    gold:SUPPORTS
08-13 15:28 root         DEBUG    predicted:REFUTES
08-13 15:28 root         DEBUG    wrong predictions
08-13 15:28 root         DEBUG    Meteora is not an album by an American band .
08-13 15:28 root         DEBUG    Meteora is the second studio album by American rock band Linkin Park .
08-13 15:28 root         DEBUG    gold:REFUTES
08-13 15:28 root         DEBUG    predicted:SUPPORTS
08-13 15:28 root         DEBUG    wrong predictions
08-13 15:28 root         DEBUG    Rabies is infectious .
08-13 15:28 root         DEBUG    Rabies is a viral disease that causes inflammation of the brain in humans and other mammals . A viral disease -LRB- or viral infection -RRB- occurs when an organism 's body is invaded by pathogenic viruses , and infectious virus particles -LRB- virions -RRB-
08-13 15:28 root         DEBUG    gold:SUPPORTS
08-13 15:28 root         DEBUG    predicted:REFUTES
08-13 15:28 root         DEBUG    wrong predictions
08-13 15:28 root         DEBUG    Miracle at St. Anna tells the story of four soldiers in a Tuscan village .
08-13 15:28 root         DEBUG    Set primarily in Italy during German-occupied Europe in World War II , the film tells the story of four Buffalo Soldiers of the 92nd Infantry Division who seek refuge in a small Tuscan village , where they form a bond with the residents .
08-13 15:28 root         DEBUG    gold:SUPPORTS
08-13 15:28 root         DEBUG    predicted:REFUTES
08-13 15:28 root         DEBUG    wrong predictions
08-13 15:28 root         DEBUG    CHiPs was written by Dax Shepard .
08-13 15:28 root         DEBUG    CHiPs is a 2017 American action comedy buddy cop film written and directed by Dax Shepard , based on the 1977 -- 1983 television series of the same name created by Rick Rosner .
08-13 15:28 root         DEBUG    gold:SUPPORTS
08-13 15:28 root         DEBUG    predicted:REFUTES
08-13 15:28 root         DEBUG    wrong predictions
08-13 15:28 root         DEBUG    Annette Badland played Doomsday Dora in The Sparticle Mystery .
08-13 15:28 root         DEBUG    She has played Margaret Blaine in the BBC science fiction series Doctor Who , Doomsday Dora in The Sparticle Mystery , Birdie Henshall in the drama series Cutting It , Mavis in season 6 of Skins , Ursula Crowe in children 's science fiction/fantasy series Wizards vs Aliens , and Babe Smith in soap opera EastEnders .
08-13 15:28 root         DEBUG    gold:SUPPORTS
08-13 15:28 root         DEBUG    predicted:REFUTES
08-13 15:28 root         DEBUG    wrong predictions
08-13 15:28 root         DEBUG    wrong predictions
08-13 15:28 root         DEBUG    Albert S. Ruddy is born on Mars .
08-13 15:28 root         DEBUG    Albert S. Ruddy -LRB- born March 28 , 1930 -RRB- is a Canadian-born film and television producer .
08-13 15:28 root         DEBUG    gold:REFUTES
08-13 15:28 root         DEBUG    predicted:SUPPORTS
08-13 15:28 root         DEBUG    wrong predictions
08-13 15:28 root         DEBUG    Janelle Monáe is a singer and songwriter .
08-13 15:28 root         DEBUG    Janelle Monáe Robinson -LRB- born December 1 , 1985 -RRB- -LRB- -LSB- dʒəˈnɛl_moʊˈneɪ -RSB- -RRB- is an American singer , songwriter , actress , and model signed to her own imprint , Wondaland Arts Society , and Atlantic Records .
08-13 15:28 root         DEBUG    gold:SUPPORTS
08-13 15:28 root         DEBUG    predicted:REFUTES
08-13 15:28 root         DEBUG    wrong predictions
08-13 15:28 root         DEBUG    Wildfang was founded by Emma Mcilroy and Julia Parsley in 2001 .
08-13 15:28 root         DEBUG    The company was founded in 2010 by Emma Mcilroy and Julia Parsley , who previously worked at Nike , Inc. in Portland , Oregon .
08-13 15:28 root         DEBUG    gold:REFUTES
08-13 15:28 root         DEBUG    predicted:SUPPORTS
08-13 15:28 root         DEBUG    wrong predictions
08-13 15:28 root         DEBUG    Aarhus is in the geographical center of Denmark .
08-13 15:28 root         DEBUG    It is located on the east coast of the Jutland peninsula , in the geographical centre of Denmark , 187 km northwest of Copenhagen and 289 km north of Hamburg , Germany .
08-13 15:28 root         DEBUG    gold:SUPPORTS
08-13 15:28 root         DEBUG    predicted:REFUTES
08-13 15:28 root         DEBUG    wrong predictions
08-13 15:28 root         DEBUG    AMGTV does not have sports television programming .
08-13 15:28 root         DEBUG    AMGTV is an American family-oriented television network featuring television programming consisting of drama , sports , movies , entertainment , how-to , hunting and fishing , children 's shows , and other features .
08-13 15:28 root         DEBUG    gold:REFUTES
08-13 15:28 root         DEBUG    predicted:SUPPORTS
08-13 15:28 root         DEBUG    wrong predictions
08-13 15:28 root         DEBUG    Aaron Burr killed Alexander Hamilton in New Jersey .
08-13 15:28 root         DEBUG    In 1804 , the last full year of his single term as vice president , Burr killed his political rival Alexander Hamilton in a famous duel . The Burr -- Hamilton duel was fought between prominent American politicians Aaron Burr , the sitting Vice President of the United States , and Alexander Hamilton , the former Secretary of the Treasury , at Weehawken , New Jersey on July 11 , 1804 .
08-13 15:28 root         DEBUG    gold:SUPPORTS
08-13 15:28 root         DEBUG    predicted:REFUTES
08-13 15:28 root         DEBUG    wrong predictions
08-13 15:28 root         DEBUG    Colin Kaepernick is a football player .
08-13 15:28 root         DEBUG    Colin Rand Kaepernick -LRB- -LSB- ` kæpərnɪk -RSB- ; born November 3 , 1987 -RRB- is an American football quarterback who is currently a free agent .
08-13 15:28 root         DEBUG    gold:SUPPORTS
08-13 15:28 root         DEBUG    predicted:REFUTES
08-13 15:28 root         DEBUG    wrong predictions
08-13 15:28 root         DEBUG    Capitol Nashville released Keith Urban .
08-13 15:28 root         DEBUG    Keith Urban -LRB- also known as Keith Urban II -RRB- is the second studio album by Australian country music artist Keith Urban , released on 19 October 1999 by Capitol Nashville .
08-13 15:28 root         DEBUG    gold:SUPPORTS
08-13 15:28 root         DEBUG    predicted:REFUTES
08-13 15:28 root         DEBUG    wrong predictions
08-13 15:28 root         DEBUG    wrong predictions
08-13 15:28 root         DEBUG    Bethany Hamilton 's biopic was directed by Sean McNamara .
08-13 15:28 root         DEBUG    She wrote about her experience in the 2004 autobiography Soul Surfer : A True Story of Faith , Family , and Fighting to Get Back on the Board . Soul Surfer is a 2011 American biographical drama film directed by Sean McNamara , based on the 2004 autobiography Soul Surfer : A True Story of Faith , Family , and Fighting to Get Back on the Board by Bethany Hamilton about her life as a surfer after a horrific shark attack and her recovery .
08-13 15:28 root         DEBUG    gold:SUPPORTS
08-13 15:28 root         DEBUG    predicted:REFUTES
08-13 15:28 root         DEBUG    wrong predictions
08-13 15:28 root         DEBUG    Tim McGraw had a supporting role in Friday Night Lights .
08-13 15:28 root         DEBUG    McGraw has ventured into acting , with supporting roles in The Blind Side -LRB- with Sandra Bullock -RRB- , Friday Night Lights , The Kingdom , Tomorrowland , and Four Christmases -LRB- with Vince Vaughn and Reese Witherspoon -RRB- , and lead roles in Flicka -LRB- 2006 -RRB- and Country Strong -LRB- 2010 -RRB- .
08-13 15:28 root         DEBUG    gold:SUPPORTS
08-13 15:28 root         DEBUG    predicted:REFUTES
08-13 15:28 root         DEBUG    wrong predictions
08-13 15:28 root         DEBUG    The United Nations Charter was vetoed in San Francisco , United States .
08-13 15:28 root         DEBUG    It was signed at the San Francisco War Memorial and Performing Arts Center in San Francisco , United States , on 26 June 1945 , by 50 of the 51 original member countries -LRB- Poland , the other original member , which was not represented at the conference , signed it two months later -RRB- .
08-13 15:28 root         DEBUG    gold:REFUTES
08-13 15:28 root         DEBUG    predicted:SUPPORTS
08-13 15:28 root         DEBUG    wrong predictions
08-13 15:28 root         DEBUG    wrong predictions
08-13 15:28 root         DEBUG    Fist of Legend is a remake of another movie .
08-13 15:28 root         DEBUG    It is a remake of the 1972 Fist of Fury , which starred Bruce Lee as the lead character .
08-13 15:28 root         DEBUG    gold:SUPPORTS
08-13 15:28 root         DEBUG    predicted:REFUTES
08-13 15:28 root         DEBUG    wrong predictions
08-13 15:28 root         DEBUG    The Bloods have distinctive hand signals .
08-13 15:28 root         DEBUG    They are identified by the red color worn by their members and by particular gang symbols , including distinctive hand signs .
08-13 15:28 root         DEBUG    gold:SUPPORTS
08-13 15:28 root         DEBUG    predicted:REFUTES
08-13 15:28 root         DEBUG    wrong predictions
08-13 15:28 root         DEBUG    wrong predictions
08-13 15:28 root         DEBUG    wrong predictions
